time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,5.94750380959e-08,-3.06761928443e-08,10.0034591309,6.2828279449,6.28309429579,0.0,6.53262581775e-06,-1.5507967685e-05,0.115298925432,-0.0218453249811,-0.00473787722505,0.0,441.64472497322856,441.25387763303587,442.904386559893,441.10446145996497
0.12000000000000001,1.15535425791e-06,-1.40805825527e-05,10.0153633928,6.28189375111,0.00102581509526,0.0,-3.94496215506e-05,-0.000575763732728,0.281482684241,-0.00530065708242,0.0448364235712,0.0,455.48434824174706,459.43123638933685,456.76749796786476,458.08486138968914
0.18,-3.40445865226e-05,-7.79009655131e-05,10.0362018806,6.28133792164,0.00349143824929,0.0,-0.00141026129519,-0.00159655333196,0.413093936506,-0.0186824887344,0.0323011189109,0.0,446.74889394266114,445.7266652877551,448.146267343417,447.0575176646203
0.23999999999999996,-0.000220628926218,-0.000227694501461,10.0698404676,6.28055385273,0.0051541838286,0.0,-0.00504707208576,-0.00351850346038,0.708055348453,-0.00370745315228,0.0164400979616,0.0,495.7165769262423,494.5499776612425,494.5834330846528,495.68508337424566
0.3,-0.000638930108147,-0.000496413117279,10.1162084475,6.27997514731,0.00559408377565,0.0,-0.00898739221547,-0.00547695857221,0.837457035286,-0.0254653370502,-0.0256470707123,0.0,448.1799316909942,444.7465278005812,447.75554913406296,445.98227650915067
0.36000000000000004,-0.00130031169511,-0.000905228187339,10.1717532749,6.27807318267,0.00428608432793,0.0,-0.0128976870293,-0.0083389826519,1.01389722655,-0.0486399871939,-0.0150435155826,0.0,461.07230830782805,461.90915823864873,461.92433291567045,460.09298894985994
0.4200000000000001,-0.00216979810063,-0.00153585262834,10.238123909,6.27572904713,0.00346616983934,0.0,-0.015986028728,-0.012976637126,1.1982806946,-0.0247050711779,-0.0110421869626,0.0,464.20705647404435,464.521022255529,462.58978015711864,464.46966116229044
0.48000000000000015,-0.00320321128552,-0.0024860929787,10.3145557384,6.27413737994,0.00284882709027,0.0,-0.0183904758447,-0.018864830067,1.3492796148,-0.0304474603488,-0.00882377213653,0.0,453.8115598634897,453.9897008207879,454.79129929424477,454.3310359005872
0.5400000000000001,-0.00436959306387,-0.00383240465443,10.4007438636,6.27265726415,0.00228993235426,0.0,-0.0204268830412,-0.0261947863643,1.52344040981,-0.0150801573842,-0.0103157543494,0.0,460.94101061764394,460.82322610540854,461.7605308500811,462.97099704645507
0.6000000000000002,-0.0056408987406,-0.00562895740087,10.4955318866,6.27127908617,0.00148689232153,0.0,-0.0218766862525,-0.0337981150177,1.63600473308,-0.0475093699224,-0.0203612238249,0.0,443.6038439014004,442.778362797063,444.4723637602857,441.8066409981845
0.6600000000000003,-0.00697932256919,-0.0079118105001,10.5965720245,6.26880243273,1.72413370025e-05,0.0,-0.0226025235076,-0.0425630123098,1.73185593914,-0.0310693278323,-0.034401647943,0.0,438.7999270230026,437.6327773261651,437.57174427286645,438.9370961970604
0.7200000000000003,-0.00832623453603,-0.0108363467374,10.7080025974,6.26702346988,6.28103266275,0.0,-0.0220320594955,-0.0551417703256,1.98209342912,-0.0269512636622,-0.0399463612735,0.0,485.0033314241148,484.586266818221,485.1780222780418,485.48688768741573
0.7800000000000004,-0.00958995728843,-0.014513521561,10.8316973289,6.26584556497,6.27825024822,0.0,-0.0198115673837,-0.0675774594939,2.14077718805,-0.00798994220752,-0.0640737251591,0.0,459.57353048732136,457.6558880641043,458.456387931188,459.9604111288006
0.8400000000000004,-0.0106614788437,-0.0189297908788,10.9632264963,6.26525638406,6.27412283663,0.0,-0.0155012107376,-0.0796825871298,2.24332902641,-0.0137562633592,-0.0804530529899,0.0,442.924952449722,441.57217059883646,442.351805232162,441.87684724541094
0.9000000000000005,-0.0113994701708,-0.0240593037956,11.0994832135,6.26507775358,6.26951281498,0.0,-0.00865047296461,-0.0913415721974,2.29844647463,0.0127339311285,-0.070435268034,0.0,426.6971961793875,427.54653847132096,426.6054997928477,428.86142938732485
0.9600000000000005,-0.0116191582618,-0.0299118282373,11.2404352844,6.26593136779,6.26514788414,0.0,0.00176301357683,-0.103656199961,2.39974330516,0.0170570084136,-0.0778287927678,0.0,443.2886806363204,442.6765819108779,441.7729521243956,442.1291510710703
1.0200000000000005,-0.0111194663578,-0.0364869706831,11.3875958612,6.26661290075,6.26019612784,0.0,0.0153815068579,-0.115420215093,2.50537525337,-0.00358982808031,-0.0941404011654,0.0,444.99480893314524,443.6519018008289,445.1009424477095,443.40795732695767
1.0800000000000005,-0.00962762389032,-0.0438058505535,11.5439500487,6.2665305678,6.25494358752,0.0,0.0349697425057,-0.128551955263,2.70596162855,0.00273047387346,-0.0768465065408,0.0,472.3642007252485,473.68992580816416,473.9731084733318,474.4586159835357
1.1400000000000006,-0.00686240034148,-0.0519003405117,11.7116105067,6.26718765506,6.25111404452,0.0,0.0576609477675,-0.141206781459,2.88227851503,0.0237216401143,-0.0458176586591,0.0,466.34885954417024,468.7631176380712,466.4097480716183,468.04617479598267
1.2000000000000006,-0.00283548770277,-0.0606469729945,11.8842917272,6.26860407364,6.24827615132,0.0,0.0768102231982,-0.150226332064,2.87377619013,0.0233766854642,-0.0504360599155,0.0,409.93176118295077,409.5195929119663,409.3843357423434,409.35375137552825
